id,date,mdsLatency,pubLatency,netLatency
87,2016-09-27 13:58:39.887,5.381439,0.039103,0.004081
88,2016-09-27 13:58:39.887,5.373888,0.031552,0.004756
89,2016-09-27 13:58:39.887,5.378237,0.035901,0.004210
90,2016-09-27 13:58:39.887,5.385706,0.043370,0.004153
91,2016-09-27 13:58:39.887,5.372700,0.030364,0.004540
92,2016-09-27 13:58:39.887,5.378733,0.036397,0.004725
93,2016-09-27 13:58:39.887,5.381940,0.039604,0.003587
94,2016-09-27 13:58:39.887,5.390393,0.048057,0.004571
95,2016-09-27 13:58:39.887,5.376698,0.034362,0.003874
96,2016-09-27 13:58:39.887,5.382694,0.040358,0.003848
97,2016-09-27 13:58:39.887,5.386128,0.043792,0.004067
98,2016-09-27 13:58:39.887,5.394718,0.052382,0.004217
99,2016-09-27 13:58:39.887,5.381075,0.038739,0.004248
100,2016-09-27 13:58:39.887,5.386085,0.043749,0.003268
101,2016-09-27 13:58:39.887,5.390819,0.048483,0.004586
102,2016-09-27 13:58:39.887,5.399129,0.056793,0.004306
103,2016-09-27 13:58:39.887,5.385311,0.042975,0.004110
104,2016-09-27 13:58:39.887,5.395288,0.052952,0.004349
105,2016-09-27 13:58:39.887,5.390927,0.048591,0.004734
106,2016-09-27 13:58:39.887,5.403635,0.061299,0.004398
107,2016-09-27 13:58:39.887,5.389799,0.047463,0.004367
108,2016-09-27 13:58:39.887,5.396023,0.053687,0.004984
109,2016-09-27 13:58:39.887,5.399141,0.056805,0.003744
110,2016-09-27 13:58:39.887,5.371706,0.029370,0.006194
111,2016-09-27 13:58:39.888,5.407563,0.065227,0.003809
112,2016-09-27 13:58:39.888,5.393827,0.051491,0.003900
113,2016-09-27 13:58:39.888,5.400382,0.058046,0.004248
114,2016-09-27 13:58:39.888,5.403483,0.061147,0.004235
115,2016-09-27 13:58:39.888,5.376818,0.034482,0.004893
116,2016-09-27 13:58:39.888,5.411515,0.069179,0.003841
117,2016-09-27 13:58:39.888,5.398312,0.055976,0.004365
118,2016-09-27 13:58:39.888,5.404846,0.062510,0.004353
119,2016-09-27 13:58:39.888,5.407421,0.065085,0.003826
120,2016-09-27 13:58:39.888,5.381919,0.039583,0.004916
121,2016-09-27 13:58:39.888,5.416646,0.074310,0.005024
122,2016-09-27 13:58:39.888,5.402521,0.060185,0.003977
123,2016-09-27 13:58:39.888,5.408767,0.066431,0.003809
124,2016-09-27 13:58:39.888,5.412315,0.069979,0.004780
125,2016-09-27 13:58:39.888,5.386603,0.044267,0.004542
126,2016-09-27 13:58:39.888,5.407165,0.064829,0.004524
127,2016-09-27 13:58:39.888,5.420318,0.077982,0.003567
128,2016-09-27 13:58:39.888,5.413587,0.071251,0.004708
129,2016-09-27 13:58:39.888,5.415844,0.073508,0.003416
130,2016-09-27 13:58:39.888,5.391290,0.048954,0.004544
131,2016-09-27 13:58:39.888,5.411459,0.069123,0.004180
132,2016-09-27 13:58:39.888,5.417855,0.075519,0.004157
133,2016-09-27 13:58:39.888,5.419676,0.077340,0.003724
134,2016-09-27 13:58:39.888,5.424093,0.081757,0.003668
135,2016-09-27 13:58:39.888,5.395894,0.053558,0.004469
