ALGO_TYPE,ASSET_BASE,ASSET_COUNTER,AUDIT_ID,DOMAIN_ID,ECN,ECP_ACCOUNT,ECP_CLIENT,ECP_FLOOR,ECP_FLOOR_KEY,ECP_INSTITUTION,ECP_INSTITUTION_KEY,ECP_LEI,ECP_ORDER_ID,ECP_ROLE,ECP_TRADER,EFP_ACCOUNT,EFP_CLIENT,EFP_EBS_ORDER_ID,EFP_EXEC_SIDE,EFP_FLOOR,EFP_FLOOR_KEY,EFP_INSTITUTION,EFP_INSTITUTION_KEY,EFP_LEI,EFP_ORDER_ID,EFP_ROLE,EFP_TRADER,END_DATE,EXEC_ID,IND_UNSOLICITED,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,MARKET_SEGMENT,ORD_EXPOSURE,ORD_PX_PD,ORD_PX_PD_EXP,ORD_PX_SWAP_POINTS,ORD_PX_SWAP_POINTS_EXP,ORD_QUOTE_ID,ORD_QUOTE_REQUEST_ID,ORD_SIDE,ORD_SUBMITTER_TYPE,ORD_TIME_IN_FORCE,ORD_TYPE,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,SOURCE_ID,SPOT_SETTL_DATE,TRADE_DATE,TXN_TIME
1,GBP,JPY,7,0,2,LPLL,,Z4AL,4507,LPLL,1229,,,C,,RA99,,0100-2400-0016,T,RA99,4391,RA99,1074,,LN2-1446723245475-1,C,LN2,1452643200000,FF64-0E70-0005-00,1,0,852105,GBP/JPY,0,2,,,,,,,,0,Manual,1,0,,,1,1452816000000,1452643200000,1452680473425
4,EUR,USD,2,0,2,LPRM,,R4MA,4200,LPRM,889,,,C,,RA77,,0100-2500-0002,T,RA77,4369,RA77,1052,,LN2-1446730510994-2,C,LN2,1452643200000,FF0A-0014-0000-13,1,2,1683636551714,EUR/USD,0,4,,,,,,,51557007105,1,Manual,1,0,,,1,1452816000000,1452643200000,1452680473321
4,USD,JPY,4,0,2,LPRJ,,R4JA,4198,LPRJ,886,,,C,,PL22,,0100-2400-0027,T,PL22,4264,PL22,1133,,LN2-1446727896678-9,C,LN2,1452643200000,FF0A-0014-0000-0A,1,2,575534596125,USD/JPY,0,4,,,,,,,47262048001,1,Manual,1,0,,,1,1452816000000,1452643200000,1452680473395
4,EUR,USD,1,0,2,LPRK,,R4KA,4201,LPRK,887,,,C,,RA78,,0100-2400-001E,T,RA78,4370,RA78,1053,,IS1-1446726366281-1,C,IS1,1452643200000,FF0A-0014-0000-04,1,2,8599306274,EUR/USD,0,4,,,,,,,47295611649,0,Manual,1,0,,,1,1452816000000,1452643200000,1452680473245
4,EUR,JPY,5,0,2,LPRE,,LPRE,4077,ZCBK,927,,,E,,LCLH,,0100-2700-0007,T,LCLH,4397,LCLH,1166,,LN2-1446733008758-5,E,LN2,1452643200000,FF0A-0014-0000-1A,1,2,335016427554,EUR/JPY,0,4,,,,,,,51590569985,0,Manual,1,0,,,1,1452816000000,1452643200000,1452680473403
4,EUR,USD,0,0,2,LPRL,,R4LA,4199,LPRL,888,,,C,,LCRI,,0100-0A00-0013,T,LCRI,4160,LCRI,909,,NOS-e3cafd0d-8fb3-4737-a4af-ad83d3b5e332,E,MYT,1452643200000,A7E8-2770-E32E-3A,1,2,2223335,EUR/USD,0,4,,,,,,,4,0,Manual,1,0,,,1,1452816000000,1452643200000,1452680473174
4,EUR,JPY,6,0,2,LPRF,,LPRF,4078,ZJPM,962,,,E,,LCLI,,0100-2500-0005,T,LCLI,4398,LCLI,1167,,LN2-1446731537258-4,E,LN0,1452643200000,FF0A-0014-0000-16,1,2,8598913058,EUR/JPY,0,4,,,,,,,51557007105,1,Manual,1,0,,,1,1452816000000,1452643200000,1452680473412
4,USD,JPY,3,0,2,LPRM,,R4MA,4200,LPRM,889,,,C,,LCPN,,0100-2700-0009,T,LCPN,3915,LCPN,948,,LN2-1446733626696-6,E,LN2,1452643200000,FF0A-0014-0000-1B,1,2,3332903600157,USD/JPY,0,4,,,,,,,51590569985,0,Manual,1,0,,,1,1452816000000,1452643200000,1452680473387
